,State,Date,BusinessApplications,ConstructionEmployees,ConstructionWages,HighPropensityBusinessApplications,HousePriceIdx,NewHousingPermits,RealGDP,TotalHighPropensityNAICs,TotalNAICs,UnemploymentRate,ZillowHomeValue
0,AK,2011-01-01,108.0,31.2,1138272.0,54.0,283.44,99.9481866700148,53410.9,219.0,465.0,8.0,241427.0
1,AK,2011-02-01,137.5,31.1,1149001.3333333333,60.0,283.20666666666665,71.7246156018645,53821.433333333334,211.0,509.0,7.9,240988.0
2,AK,2011-03-01,117.5,30.9,1159730.6666666667,55.0,282.97333333333336,54.130004756153,54231.96666666667,187.0,420.0,7.8,240164.0
3,AK,2011-04-01,118.0,31.5,1170460.0,56.0,282.74,115.426190142183,54642.5,195.0,407.0,7.8,239210.0
4,AK,2011-05-01,92.5,31.5,1183233.3333333333,45.0,283.05333333333334,53.617096916421794,54880.63333333333,149.0,339.0,7.7,238671.0
5,AK,2011-06-01,107.5,31.7,1196006.6666666667,52.5,283.3666666666667,64.6299521810064,55118.76666666667,203.0,443.0,7.7,238628.0
6,AK,2011-07-01,94.0,31.9,1208780.0,42.0,283.68,80.98144004178009,55356.9,177.0,444.0,7.7,238755.0
7,AK,2011-08-01,95.0,31.9,1204101.3333333333,45.0,284.33666666666664,68.1063329001461,56141.63333333333,204.0,445.0,7.7,238865.0
8,AK,2011-09-01,75.0,32.1,1199422.6666666667,32.5,284.99333333333334,54.08323618043801,56926.36666666667,162.0,369.0,7.7,238703.0
9,AK,2011-10-01,94.0,32.6,1194744.0,42.0,285.65,57.7663014552108,57711.1,196.0,434.0,7.7,238637.0
10,AK,2011-11-01,90.0,32.5,1201546.6666666667,40.0,284.9866666666667,59.5387957006289,57702.4,187.0,431.0,7.6,238576.0
11,AK,2011-12-01,84.0,32.5,1208349.3333333333,40.0,284.3233333333333,58.390034325428196,57693.7,173.0,435.0,7.5,238783.0
12,AK,2012-01-01,102.5,33.1,1215152.0,50.0,283.66,61.464068023902996,57685.0,162.0,389.0,7.5,239613.0
13,AK,2012-02-01,112.5,32.7,1225644.0,50.0,283.3933333333334,66.9058057504487,58199.3,165.0,412.0,7.4,240358.0
14,AK,2012-03-01,134.0,32.7,1236136.0,60.0,283.12666666666667,69.6515822150554,58713.6,212.0,479.0,7.4,241513.0
15,AK,2012-04-01,127.5,33.0,1246628.0,52.5,282.86,74.3895426250666,59227.9,180.0,438.0,7.3,242268.0
16,AK,2012-05-01,112.5,33.2,1245710.6666666667,52.5,283.8933333333333,72.15234765843721,59066.76666666667,183.0,413.0,7.3,243185.0
17,AK,2012-06-01,102.0,33.6,1244793.3333333333,48.0,284.9266666666667,112.179146697881,58905.63333333333,186.0,421.0,7.3,243323.0
18,AK,2012-07-01,97.5,33.8,1243876.0,40.0,285.96,83.4033761445034,58744.5,188.0,447.0,7.2,243353.0
19,AK,2012-08-01,85.0,33.8,1250588.0,40.0,286.69,73.3409372219993,58322.066666666666,170.0,408.0,7.2,243214.0
20,AK,2012-09-01,94.0,33.7,1257300.0,38.0,287.41999999999996,104.621753671744,57899.63333333333,175.0,444.0,7.1,243389.0
21,AK,2012-10-01,92.5,34.3,1264012.0,40.0,288.15,108.06664276361201,57477.2,171.0,424.0,7.1,243639.0
22,AK,2012-11-01,95.0,33.7,1251300.0,40.0,289.24666666666667,112.958246662376,57241.299999999996,186.0,435.0,7.1,244087.0
23,AK,2012-12-01,98.0,33.6,1238588.0,46.0,290.3433333333333,50.830312965226604,57005.4,228.0,547.0,7.1,243901.0
24,AK,2013-01-01,130.0,33.7,1225876.0,57.5,291.44,97.18821415072179,56769.5,191.0,489.0,7.1,244369.0
25,AK,2013-02-01,127.5,33.9,1231289.3333333333,52.5,291.65666666666664,91.25395378916589,56112.333333333336,185.0,454.0,7.0,244751.0
26,AK,2013-03-01,124.0,34.2,1236702.6666666667,54.0,291.87333333333333,111.01176420012,55455.166666666664,177.0,434.0,7.0,245854.0
27,AK,2013-04-01,135.0,33.6,1242116.0,55.0,292.09,93.32579578654058,54798.0,190.0,463.0,7.0,246505.0
28,AK,2013-05-01,130.0,33.4,1276269.3333333333,57.5,293.08666666666664,91.9646019778148,54924.1,182.0,476.0,7.0,247261.0
29,AK,2013-06-01,104.0,33.8,1310422.6666666667,48.0,294.0833333333333,91.65539110501459,55050.200000000004,183.0,425.0,7.0,248592.0
30,AK,2013-07-01,87.5,33.8,1344576.0,40.0,295.08,86.31353127080841,55176.3,170.0,412.0,7.0,249879.0
31,AK,2013-08-01,98.0,34.2,1359680.0,42.0,295.5133333333333,79.0988778160055,55008.66666666667,196.0,456.0,7.0,251228.0
32,AK,2013-09-01,87.5,34.4,1374784.0,35.0,295.94666666666666,103.39533553835501,54841.03333333333,168.0,416.0,7.0,252008.0
33,AK,2013-10-01,95.0,34.0,1389888.0,40.0,296.38,89.78004912481241,54673.4,170.0,441.0,7.0,252400.0
34,AK,2013-11-01,102.0,34.3,1417290.6666666667,38.0,295.43333333333334,90.76459872292259,54375.833333333336,180.0,482.0,6.9,253079.0
35,AK,2013-12-01,85.0,34.6,1444693.3333333333,42.5,294.4866666666667,60.87715979868629,54078.26666666666,200.0,438.0,6.9,253840.0
36,AK,2014-01-01,112.5,34.6,1472096.0,55.0,293.54,133.259885351962,53780.7,192.0,461.0,6.9,254415.0
