,Name,State,title,frequency,units,seasonal_adjustment,last_updated,id,notes,series id,realtime_start,realtime_end,observation_start,observation_end,frequency_short,units_short,seasonal_adjustment_short,popularity,full_state,index
0,BusinessApplications,AK,Business Applications for Alaska,"Weekly, Ending Saturday",Number,Not Seasonally Adjusted,2022-11-17 11:03:01-06:00,BUSAPPWNSAAK,"Business Applications (BA): The core business applications series that corresponds to a subset of all EIN applications. BA includes all applications for an EIN, except for applications for tax liens, estates, trusts, or certain financial filings, applications with no state-county geocodes, applications from certain agricultural, public entities, and applications in certain industries (e.g. private households, civic and social organizations).  See ""About the Data"" (https://www.census.gov/econ/bfs/about_the_data.html) for more details.",BUSAPPWNSAAK,2022-11-20 00:00:00,2022-11-20 00:00:00,2006-01-07 00:00:00,2022-11-12 00:00:00,W,Number,NSA,1,,
1,BusinessApplications,AL,Business Applications for Alabama,"Weekly, Ending Saturday",Number,Not Seasonally Adjusted,2022-11-17 11:03:02-06:00,BUSAPPWNSAAL,"Business Applications (BA): The core business applications series that corresponds to a subset of all EIN applications. BA includes all applications for an EIN, except for applications for tax liens, estates, trusts, or certain financial filings, applications with no state-county geocodes, applications from certain agricultural, public entities, and applications in certain industries (e.g. private households, civic and social organizations).  See ""About the Data"" (https://www.census.gov/econ/bfs/about_the_data.html) for more details.",BUSAPPWNSAAL,2022-11-20 00:00:00,2022-11-20 00:00:00,2006-01-07 00:00:00,2022-11-12 00:00:00,W,Number,NSA,1,,
2,BusinessApplications,AR,Business Applications for Arkansas,"Weekly, Ending Saturday",Number,Not Seasonally Adjusted,2022-11-17 11:03:02-06:00,BUSAPPWNSAAR,"Business Applications (BA): The core business applications series that corresponds to a subset of all EIN applications. BA includes all applications for an EIN, except for applications for tax liens, estates, trusts, or certain financial filings, applications with no state-county geocodes, applications from certain agricultural, public entities, and applications in certain industries (e.g. private households, civic and social organizations).  See ""About the Data"" (https://www.census.gov/econ/bfs/about_the_data.html) for more details.",BUSAPPWNSAAR,2022-11-20 00:00:00,2022-11-20 00:00:00,2006-01-07 00:00:00,2022-11-12 00:00:00,W,Number,NSA,1,,
3,BusinessApplications,AZ,Business Applications for Arizona,"Weekly, Ending Saturday",Number,Not Seasonally Adjusted,2022-11-17 11:03:02-06:00,BUSAPPWNSAAZ,"Business Applications (BA): The core business applications series that corresponds to a subset of all EIN applications. BA includes all applications for an EIN, except for applications for tax liens, estates, trusts, or certain financial filings, applications with no state-county geocodes, applications from certain agricultural, public entities, and applications in certain industries (e.g. private households, civic and social organizations).  See ""About the Data"" (https://www.census.gov/econ/bfs/about_the_data.html) for more details.",BUSAPPWNSAAZ,2022-11-20 00:00:00,2022-11-20 00:00:00,2006-01-07 00:00:00,2022-11-12 00:00:00,W,Number,NSA,1,,
4,BusinessApplications,CA,Business Applications for California,"Weekly, Ending Saturday",Number,Not Seasonally Adjusted,2022-11-17 11:03:02-06:00,BUSAPPWNSACA,"Business Applications (BA): The core business applications series that corresponds to a subset of all EIN applications. BA includes all applications for an EIN, except for applications for tax liens, estates, trusts, or certain financial filings, applications with no state-county geocodes, applications from certain agricultural, public entities, and applications in certain industries (e.g. private households, civic and social organizations).  See ""About the Data"" (https://www.census.gov/econ/bfs/about_the_data.html) for more details.",BUSAPPWNSACA,2022-11-20 00:00:00,2022-11-20 00:00:00,2006-01-07 00:00:00,2022-11-12 00:00:00,W,Number,NSA,6,,
5,BusinessApplications,CO,Business Applications for Colorado,"Weekly, Ending Saturday",Number,Not Seasonally Adjusted,2022-11-17 11:03:03-06:00,BUSAPPWNSACO,"Business Applications (BA): The core business applications series that corresponds to a subset of all EIN applications. BA includes all applications for an EIN, except for applications for tax liens, estates, trusts, or certain financial filings, applications with no state-county geocodes, applications from certain agricultural, public entities, and applications in certain industries (e.g. private households, civic and social organizations).  See ""About the Data"" (https://www.census.gov/econ/bfs/about_the_data.html) for more details.",BUSAPPWNSACO,2022-11-20 00:00:00,2022-11-20 00:00:00,2006-01-07 00:00:00,2022-11-12 00:00:00,W,Number,NSA,1,,
6,BusinessApplications,CT,Business Applications for Connecticut,"Weekly, Ending Saturday",Number,Not Seasonally Adjusted,2022-11-17 11:03:03-06:00,BUSAPPWNSACT,"Business Applications (BA): The core business applications series that corresponds to a subset of all EIN applications. BA includes all applications for an EIN, except for applications for tax liens, estates, trusts, or certain financial filings, applications with no state-county geocodes, applications from certain agricultural, public entities, and applications in certain industries (e.g. private households, civic and social organizations).  See ""About the Data"" (https://www.census.gov/econ/bfs/about_the_data.html) for more details.",BUSAPPWNSACT,2022-11-20 00:00:00,2022-11-20 00:00:00,2006-01-07 00:00:00,2022-11-12 00:00:00,W,Number,NSA,1,,
7,BusinessApplications,DC,Business Applications for District of Columbia,"Weekly, Ending Saturday",Number,Not Seasonally Adjusted,2022-11-17 11:03:03-06:00,BUSAPPWNSADC,"Business Applications (BA): The core business applications series that corresponds to a subset of all EIN applications. BA includes all applications for an EIN, except for applications for tax liens, estates, trusts, or certain financial filings, applications with no state-county geocodes, applications from certain agricultural, public entities, and applications in certain industries (e.g. private households, civic and social organizations).  See ""About the Data"" (https://www.census.gov/econ/bfs/about_the_data.html) for more details.",BUSAPPWNSADC,2022-11-20 00:00:00,2022-11-20 00:00:00,2006-01-07 00:00:00,2022-11-12 00:00:00,W,Number,NSA,1,,
8,BusinessApplications,DE,Business Applications for Delaware,"Weekly, Ending Saturday",Number,Not Seasonally Adjusted,2022-11-17 11:03:03-06:00,BUSAPPWNSADE,"Business Applications (BA): The core business applications series that corresponds to a subset of all EIN applications. BA includes all applications for an EIN, except for applications for tax liens, estates, trusts, or certain financial filings, applications with no state-county geocodes, applications from certain agricultural, public entities, and applications in certain industries (e.g. private households, civic and social organizations).  See ""About the Data"" (https://www.census.gov/econ/bfs/about_the_data.html) for more details.",BUSAPPWNSADE,2022-11-20 00:00:00,2022-11-20 00:00:00,2006-01-07 00:00:00,2022-11-12 00:00:00,W,Number,NSA,1,,
9,BusinessApplications,FL,Business Applications for Florida,"Weekly, Ending Saturday",Number,Not Seasonally Adjusted,2022-11-17 11:03:03-06:00,BUSAPPWNSAFL,"Business Applications (BA): The core business applications series that corresponds to a subset of all EIN applications. BA includes all applications for an EIN, except for applications for tax liens, estates, trusts, or certain financial filings, applications with no state-county geocodes, applications from certain agricultural, public entities, and applications in certain industries (e.g. private households, civic and social organizations).  See ""About the Data"" (https://www.census.gov/econ/bfs/about_the_data.html) for more details.",BUSAPPWNSAFL,2022-11-20 00:00:00,2022-11-20 00:00:00,2006-01-07 00:00:00,2022-11-12 00:00:00,W,Number,NSA,4,,
