,State,Year,Quarter,Month,BusinessApplications,ConstructionEmployees,ConstructionWages,HighPropensityBusinessApplications,HousePriceIdx,NewHousingPermits,RealGDP,TotalHighPropensityNAICs,TotalNAICs,UnemploymentRate,ZillowHomeValue
0,AK,2011,1,1,108.0,31.2,1138272.0,54.0,283.44,99.9481866700148,53410.9,219.0,465.0,8.0,241427.0
1,AK,2011,1,2,137.5,31.1,,60.0,,71.7246156018645,,211.0,509.0,7.9,240988.0
2,AK,2011,1,3,117.5,30.9,,55.0,,54.130004756153,,187.0,420.0,7.8,240164.0
3,AK,2011,2,4,118.0,31.5,1170460.0,56.0,282.74,115.426190142183,54642.5,195.0,407.0,7.8,239210.0
4,AK,2011,2,5,92.5,31.5,,45.0,,53.617096916421794,,149.0,339.0,7.7,238671.0
5,AK,2011,2,6,107.5,31.7,,52.5,,64.6299521810064,,203.0,443.0,7.7,238628.0
6,AK,2011,3,7,94.0,31.9,1208780.0,42.0,283.68,80.98144004178009,55356.9,177.0,444.0,7.7,238755.0
7,AK,2011,3,8,95.0,31.9,,45.0,,68.1063329001461,,204.0,445.0,7.7,238865.0
8,AK,2011,3,9,75.0,32.1,,32.5,,54.08323618043801,,162.0,369.0,7.7,238703.0
9,AK,2011,4,10,94.0,32.6,1194744.0,42.0,285.65,57.7663014552108,57711.1,196.0,434.0,7.7,238637.0
10,AK,2011,4,11,90.0,32.5,,40.0,,59.5387957006289,,187.0,431.0,7.6,238576.0
11,AK,2011,4,12,84.0,32.5,,40.0,,58.390034325428196,,173.0,435.0,7.5,238783.0
12,AK,2012,1,1,102.5,33.1,1215152.0,50.0,283.66,61.464068023902996,57685.0,162.0,389.0,7.5,239613.0
13,AK,2012,1,2,112.5,32.7,,50.0,,66.9058057504487,,165.0,412.0,7.4,240358.0
14,AK,2012,1,3,134.0,32.7,,60.0,,69.6515822150554,,212.0,479.0,7.4,241513.0
15,AK,2012,2,4,127.5,33.0,1246628.0,52.5,282.86,74.3895426250666,59227.9,180.0,438.0,7.3,242268.0
16,AK,2012,2,5,112.5,33.2,,52.5,,72.15234765843721,,183.0,413.0,7.3,243185.0
17,AK,2012,2,6,102.0,33.6,,48.0,,112.179146697881,,186.0,421.0,7.3,243323.0
18,AK,2012,3,7,97.5,33.8,1243876.0,40.0,285.96,83.4033761445034,58744.5,188.0,447.0,7.2,243353.0
19,AK,2012,3,8,85.0,33.8,,40.0,,73.3409372219993,,170.0,408.0,7.2,243214.0
20,AK,2012,3,9,94.0,33.7,,38.0,,104.621753671744,,175.0,444.0,7.1,243389.0
21,AK,2012,4,10,92.5,34.3,1264012.0,40.0,288.15,108.06664276361201,57477.2,171.0,424.0,7.1,243639.0
